#Archive/File	Name	Time	Size	Type
Archive	GSE20986_RAW.tar	01/17/2013 14:57:27	56360960	TAR
File	GSM524662.CEL.gz	03/20/2010 17:10:33	4708859	CEL
File	GSM524663.CEL.gz	03/20/2010 17:10:36	4859772	CEL
File	GSM524664.CEL.gz	03/20/2010 17:10:39	4875531	CEL
File	GSM524665.CEL.gz	03/20/2010 17:10:42	4265723	CEL
File	GSM524666.CEL.gz	03/20/2010 17:10:45	4667448	CEL
File	GSM524667.CEL.gz	03/20/2010 17:10:48	4579443	CEL
File	GSM524668.CEL.gz	03/20/2010 17:10:51	4771601	CEL
File	GSM524669.CEL.gz	03/20/2010 17:10:54	4506786	CEL
File	GSM524670.CEL.gz	03/20/2010 17:10:57	4603537	CEL
File	GSM524671.CEL.gz	03/20/2010 17:11:00	4898578	CEL
File	GSM524672.CEL.gz	03/20/2010 17:11:04	4810305	CEL
File	GSM524673.CEL.gz	03/20/2010 17:11:08	4796509	CEL
